───────────────────────────────────────────────────────────────────────────────
Language                 Files     Lines   Blanks  Comments     Code Complexity
~layout/AnalyticsDashboard.tsx       148       14         5      129          8
~mponents/AssistantSidebar.tsx       145       13        18      114         15
~nts/layout/DebugWorkbench.tsx       138       12         0      126         17
~s/inventory/InventoryList.tsx       138       12         2      124         15
hooks/useNeuralLink.ts               136       20         2      114         22
hooks/useResizeHandler.ts            119       15        24       80         12
services/simulationEngine.ts         119       19        19       81         29
components/ErrorBoundary.tsx         118       17         5       96          6
~s/diagram/PredictiveGhost.tsx       117       14         3      100         17
~/settings/DeveloperPortal.tsx       117        9         0      108          7
~ents/inventory/MacroPanel.tsx       116        8         0      108         11
~nts/settings/PartsManager.tsx       116       11         9       96         10
services/authService.ts              115       21        10       84         11
~s__/AssistantSidebar.test.tsx       115       18         4       93          0
~nents/diagram/TacticalHUD.tsx       112        9         5       98          5
~omponents/auth/Gatekeeper.tsx       111       11         0      100         22
~ces/circuitAnalysisService.ts       111       14        11       86         33
contexts/AuthContext.tsx             110       13         1       96          9
~ts/layout/ProjectTimeline.tsx       109       10         0       99          7
contexts/TutorialContext.tsx         107       14         3       90         17
~__/userProfileService.test.ts       107       15         5       87          7
services/aiMetricsService.ts         106       15         7       84         27
~ices/gesture/GestureEngine.ts       105       15         2       88         16
components/diagram/Wire.tsx          104       13         2       89         18
~ponents/layout/OmniSearch.tsx       104        9         0       95         15
services/ragService.ts               103       18         9       76         10
~nts/settings/ConfigPortal.tsx       102        8         0       94          3
~ings/LocalizationSettings.tsx       102        7         1       94         16
~ents/layout/BootcampPanel.tsx       101        9         1       91         25
hooks/useHoverBehavior.ts            100       13        26       61          9
contexts/UserContext.tsx             100       13         7       80         10
contexts/TelemetryContext.tsx         98       12        11       75         10
services/standardsService.ts          96        8         3       85         11
~ests__/SettingsPanel.test.tsx        94       22        15       57          1
contexts/DashboardContext.tsx         94       13         0       81         10
~nents/diagram/DiffOverlay.tsx        92        6         1       85          3
~texts/NotificationContext.tsx        92       16         2       74         18
~diagram/wiring/BezierWire.tsx        92       13        18       61          5
~hboard/OscilloscopeWidget.tsx        92       11         2       79          9
services/gemini/parsers.ts            91        6        18       67         29
~/diagram/parts/FzpzVisual.tsx        90        8        10       72          7
~ts/layout/SystemLogViewer.tsx        90        7         1       82         14
~s/layout/HardwareTerminal.tsx        90        6         5       79         17
contexts/HUDContext.tsx               87       15         4       68         15
~nts/layout/SecurityReport.tsx        86        9         0       77          7
services/predictionEngine.ts          86        7        10       69          8
~ents/diagram/NeuralCursor.tsx        84       10         4       70          9
contexts/MacroContext.tsx             82        9         0       73          6
~ponents/layout/StatusRail.tsx        81        4         0       77         11
~ices/visionAnalysisService.ts        81       10         7       64         12
~ontexts/SimulationContext.tsx        81       10        10       61          9
services/syncService.ts               80        9        13       58          4
~vices/error/diagnosticsHub.ts        80       14         4       62          6
~oks/actions/canvasHandlers.ts        80       11         0       69          0
services/datasetService.ts            79       15        10       54         15
~/__tests__/ChatPanel.test.tsx        79       11         9       59          0
~feedback/correctionService.ts        79       13         1       65          6
~/diagram/ConflictResolver.tsx        77        5         0       72          0
index.tsx                             77       10         2       65          5
services/knowledgeService.ts          76        9         1       66          7
~mponents/layout/AppLayout.tsx        75        9         0       66         16
services/gemini/client.ts             74        8        13       53          4
~/settings/DiagnosticsView.tsx        74        7         0       67          8
services/securityAuditor.ts           74       12         7       55         23
~actions/appControlHandlers.ts        73       10        17       46          6
~s/dashboard/DashboardView.tsx        72        6         2       64         12
~ComponentEditorModal.test.tsx        72       11         0       61          1
~/__tests__/fzpzLoader.test.ts        71        9         5       57         10
~nents/layout/SystemVitals.tsx        71        6         0       65          6
~/diagram/parts/Breadboard.tsx        70        8        16       46          2
~/__tests__/Inventory.test.tsx        69       13         3       53          0
App.tsx                               69        2         0       67          0
~vices/logging/auditService.ts        68       13         1       54          9
~ponents/layout/CyberToast.tsx        68        6         0       62         11
~omponents/layout/CommsLog.tsx        68        4         0       64         17
~ture/GestureMetricsService.ts        68       13         1       54          8
~ts__/useConversations.test.ts        67        9         0       58          6
~sts__/securityAuditor.test.ts        67        5         0       62          1
~nents/diagram/diagramUtils.ts        67       10        12       45         20
~onents/layout/SimControls.tsx        67        8         5       54         18
services/diagramDiff.ts               66       11         7       48         11
~ts__/aiMetricsService.test.ts        65       10         0       55          1
~s/inventory/inventoryUtils.ts        65        3         6       56          8
services/bomService.ts                65        9         5       51          8
~ents/layout/MentorOverlay.tsx        65        8         0       57          2
~vices/peerDiscoveryService.ts        65       12         4       49          4
~ervices/partStorageService.ts        64        9         5       50          2
~s/dashboard/WidgetWrapper.tsx        63        6         0       57          5
~ces/gemini/features/wiring.ts        63        7         2       54          2
~s/layout/CollaboratorList.tsx        62        9         1       52          2
hooks/actions/navHandlers.ts          61        8         0       53          4
services/webRTCService.ts             61       13         1       47         10
services/healthMonitor.ts             60        8         0       52         13
hooks/useClickOutside.ts              60       10        19       31          7
~emini/features/suggestions.ts        60        6         4       50          3
~s/dashboard/HeatmapWidget.tsx        60        6         2       52          8
components/IconButton.tsx             58        8         7       43          7
services/api/tokenService.ts          58       10         0       48          6
services/collabService.ts             58       11         7       40          6
~xts/AssistantStateContext.tsx        58        8         1       49          8
~gemini/features/datasheets.ts        57        4         3       50          6
~nts/dashboard/AnalogGauge.tsx        57        3         0       54          0
~vices/config/configManager.ts        55        7         7       41         15
~ents/diagram/RemoteCursor.tsx        53        4         0       49          0
services/api/apiGateway.ts            52        9         7       36          6
hooks/actions/index.ts                52        6        10       36          1
hooks/useAutonomySettings.ts          51        8         2       41          4
~ervices/datasheetProcessor.ts        51        6         7       38          5
~vices/search/searchIndexer.ts        50        8         6       36          6
~board/LogicAnalyzerWidget.tsx        49        4         1       44         16
services/viz/vizEngine.ts             49       10         6       33          3
~ts/diagram/MismatchMarker.tsx        48        4         0       44          0
~rvices/gemini/features/hud.ts        48        9         6       33          5
~rvices/connectivityService.ts        47        7         5       35          0
contexts/HealthContext.tsx            47        7         1       39          7
~/analytics/projectAnalyzer.ts        47        7         6       34         12
hooks/useActionHistory.ts             44        8         0       36          2
~nents/dashboard/Sparkline.tsx        43        5         0       38          2
services/macroEngine.ts               43        8         3       32          5
contexts/SelectionContext.tsx         41        6         0       35         10
hooks/actions/types.ts                40        3        10       27          5
~emini/features/predictions.ts        39        4         4       31          1
~rvices/gemini/features/bom.ts        39        5         3       31          4
~_/storageSanitization.test.ts        39        5         4       30          1
~gemini/features/simulation.ts        38        5         3       30          3
services/api/events.ts                37        7         1       29          7
~rvices/threeWorkerPolyfill.ts        37        2         1       34          6
services/api/apiDispatcher.ts         36        6         6       24          4
~localization/unitConverter.ts        35        6         3       26         23
~s/dashboard/WidgetLibrary.tsx        35        3         0       32          0
~nents/layout/ModeSelector.tsx        34        3         0       31          3
services/geminiService.ts             34        8         5       21          3
~gemini/features/versioning.ts        33        5         3       25          5
services/apiKeyStorage.ts             31        3         5       23          5
services/threeCodeRunner.ts           31        5         1       25          3
components/diagram/index.ts           28        3         1       24          0
~ents/auth/PermissionGuard.tsx        25        5         0       20          4
~tests__/geminiService.test.ts        24        4         0       20          1
~_tests__/ChatMessage.test.tsx        24        2         0       22          1
~texts/ConversationContext.tsx        21        3         0       18          4
services/localization/i18n.ts         21        2         0       19          0
hooks/useSync.ts                      18        3         1       14          0
services/gemini/index.ts              18        1         2       15          0
hooks/usePermissions.ts               17        3         0       14          3
services/tutorialValidator.ts         15        1         0       14          1
hooks/useConnectivity.ts              14        3         0       11          0
───────────────────────────────────────────────────────────────────────────────
Total                      194     32041     3684      2089    26268       4546
───────────────────────────────────────────────────────────────────────────────
Estimated Cost to Develop (organic) $835,590
Estimated Schedule Effort (organic) 12.85 months
Estimated People Required (organic) 5.78
───────────────────────────────────────────────────────────────────────────────
Processed 1156980 bytes, 1.157 megabytes (SI)
───────────────────────────────────────────────────────────────────────────────
